School Name,Area Type,Gender,Caste,Standard,Age,Year,District,Dropout Status,Dropout Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Maharishi Public School,Semi-Urban,Male,SC,5,10,2018,Bengaluru Rural,Dropout,Migration,Secondary,15000,50.19,79.65,27.5,1.76
New Oxford School,Semi-Urban,Female,General,4,9,2018,Ballari,Dropout,Other,No Schooling,25000,32.54,79.65,22.2,2.26
National Public School,Rural,Male,SC,6,11,2024,Tumakuru,Dropout,Other,Primary,25000,52.757,79.65,39.9,6.08
Delhi Public School,Rural,Male,General,2,7,2019,Mysuru,Dropout,Other,Graduate,50000,52.757,79.65,37.9,3.27
Maharishi Public School,Urban,Female,General,6,11,2020,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,32.5,1.43
PES Public School,Semi-Urban,Female,OBC,1,6,2023,Udupi,Enrolled,Not applicable,No Schooling,15000,74.29,90.125,32.7,2.47
Maharishi Public School,Urban,Female,SC,8,13,2023,Dakshina Kannada,Dropout,Migration,No Schooling,10000,52.757,73.69,43.6,2.8
Assisi Central School,Urban,Male,General,5,10,2023,Dharwad,Dropout,Bullying,Higher Secondary,50000,52.757,79.65,25.9,1.68
Assisi Central School,Rural,Male,ST,10,15,2018,Udupi,Enrolled,Not applicable,No Schooling,50000,84.6,91.3,44.6,6.91
Maharishi Public School,Semi-Urban,Male,OBC,10,15,2021,Belagavi,Enrolled,Not applicable,Primary,100000,71.13,90.125,39.5,2.72
Mount Litera Zee School,Rural,Male,SC,3,8,2020,Ballari,Dropout,Other,Secondary,50000,52.757,79.65,32.6,2.52
Mount Litera Zee School,Rural,Male,General,7,12,2018,Mysuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,33.7,9.71
Jain International School,Semi-Urban,Female,General,9,14,2023,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,25000,67.74,90.125,27.7,2.16
Freedom International School,Rural,Male,SC,6,11,2019,Mysuru,Dropout,Family responsibilities,Primary,15000,47.35,79.65,42.6,9.51
Freedom International School,Urban,Female,OBC,1,6,2021,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,92.56,90.125,35.4,2.59
Mount Litera Zee School,Semi-Urban,Female,ST,5,10,2024,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,67.74,90.125,29.6,1.3
Mount Litera Zee School,Urban,Female,General,4,9,2023,Belagavi,Dropout,Bullying,Primary,25000,52.757,79.65,37.9,0.36
Jain International School,Urban,Male,SC,8,13,2022,Ballari,Enrolled,Not applicable,Higher Secondary,10000,68.27,90.125,49.9,1.37
Assisi Central School,Semi-Urban,Female,SC,3,8,2024,Ballari,Dropout,Other,Secondary,10000,52.757,79.65,33.1,0.77
Maharishi Public School,Urban,Female,ST,1,6,2021,Dharwad,Dropout,Other,Higher Secondary,50000,52.757,77.53,47.6,0.94
Maharishi Public School,Semi-Urban,Male,General,5,10,2023,Mysuru,Dropout,Family responsibilities,Higher Secondary,100000,50.66,79.65,30.4,2.34
Mount Litera Zee School,Semi-Urban,Female,OBC,4,9,2024,Udupi,Enrolled,Not applicable,Secondary,25000,67.74,90.125,21.6,0.32
Maharishi Public School,Semi-Urban,Female,SC,4,9,2020,Shivamogga,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,26.1,2.5
Sri Taralabalu Central School,Semi-Urban,Male,General,8,13,2018,Ballari,Dropout,Lack of interest,Primary,60000,40.2,79.65,32.6,1.34
Assisi Central School,Semi-Urban,Female,SC,3,8,2024,Dharwad,Dropout,Bullying,Primary,50000,50.82,79.65,26.6,1.83
Maharishi Public School,Semi-Urban,Male,ST,4,9,2021,Shivamogga,Enrolled,Not applicable,Primary,10000,67.74,90.125,20.0,0.36
Assisi Central School,Rural,Female,OBC,8,13,2018,Shivamogga,Dropout,Health issues,Post-Graduate,50000,52.757,79.65,47.5,2.77
Delhi Public School,Rural,Female,ST,3,8,2018,Mysuru,Dropout,Health issues,Primary,50000,49.61,79.65,45.3,1.88
Mount Litera Zee School,Urban,Female,SC,8,13,2020,Mysuru,Enrolled,Not applicable,Graduate,100000,67.74,93.75,42.3,2.89
Assisi Central School,Rural,Male,ST,7,12,2020,Udupi,Dropout,Family responsibilities,Secondary,50000,52.757,78.5,25.0,9.31
Assisi Central School,Urban,Male,ST,1,6,2022,Mysuru,Enrolled,Not applicable,Higher Secondary,60000,67.74,90.125,23.6,1.43
Mount Litera Zee School,Rural,Female,SC,10,15,2022,Bengaluru Urban,Enrolled,Not applicable,Secondary,50000,71.4,90.125,22.0,4.19
National Public School,Semi-Urban,Male,SC,5,10,2021,Belagavi,Dropout,Family Issues,Secondary,50000,52.757,79.65,41.7,2.81
National Public School,Urban,Male,General,8,13,2019,Mysuru,Dropout,Family Issues,Secondary,25000,38.14,79.65,47.9,1.1
Delhi Public School,Rural,Female,ST,1,6,2018,Dakshina Kannada,Enrolled,Not applicable,Primary,10000,67.74,90.125,32.9,7.09
Sri Taralabalu Central School,Semi-Urban,Male,SC,5,10,2018,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,23.6,1.73
Mount Litera Zee School,Urban,Male,ST,8,13,2018,Mysuru,Enrolled,Not applicable,Primary,60000,67.74,90.125,35.4,2.84
Mount Litera Zee School,Rural,Female,SC,2,7,2019,Bengaluru Rural,Dropout,Financial hardship,No Schooling,10000,52.757,79.65,30.5,3.39
National Public School,Rural,Male,OBC,10,15,2022,Dharwad,Enrolled,Not applicable,Secondary,100000,67.74,90.95,31.2,1.35
Maharishi Public School,Semi-Urban,Male,OBC,3,8,2022,Dharwad,Enrolled,Not applicable,Primary,25000,67.74,90.125,38.6,2.82
Assisi Central School,Rural,Male,General,8,13,2019,Udupi,Enrolled,Not applicable,Graduate,60000,67.74,90.125,41.6,9.02
Jain International School,Semi-Urban,Female,General,1,6,2018,Dharwad,Dropout,Other,Post-Graduate,15000,52.757,75.73,23.3,0.43
National Public School,Rural,Female,ST,7,12,2018,Belagavi,Dropout,Other,Graduate,15000,52.757,79.65,21.1,8.49
Sri Taralabalu Central School,Rural,Female,ST,4,9,2020,Bengaluru Urban,Enrolled,Not applicable,Primary,15000,67.74,90.125,49.8,9.92
Jain International School,Urban,Male,SC,6,11,2021,Shivamogga,Dropout,Other,No Schooling,15000,52.757,79.65,27.0,1.48
Freedom International School,Semi-Urban,Male,OBC,8,13,2022,Shivamogga,Enrolled,Not applicable,Graduate,10000,67.74,90.125,21.6,2.98
Jain International School,Rural,Female,SC,10,15,2018,Shivamogga,Dropout,Child Labour,Secondary,25000,52.757,79.65,25.7,7.07
New Oxford School,Urban,Male,ST,4,9,2020,Tumakuru,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,21.2,0.31
Jain International School,Rural,Female,ST,6,11,2018,Bengaluru Urban,Enrolled,Not applicable,Post-Graduate,60000,88.52,90.125,31.8,9.87
Assisi Central School,Urban,Female,SC,1,6,2023,Bengaluru Rural,Enrolled,Not applicable,Graduate,10000,67.74,100.0,44.1,1.28
PES Public School,Rural,Male,SC,3,8,2024,Belagavi,Enrolled,Not applicable,Primary,15000,67.74,90.125,30.2,3.19
PES Public School,Semi-Urban,Female,ST,7,12,2018,Tumakuru,Dropout,Lack of interest,Primary,10000,37.29,74.96,33.3,1.72
PES Public School,Rural,Male,General,8,13,2018,Bengaluru Rural,Enrolled,Not applicable,Graduate,25000,67.74,90.125,40.3,1.96
Delhi Public School,Semi-Urban,Male,OBC,10,15,2021,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,90.125,35.3,0.35
Sri Taralabalu Central School,Semi-Urban,Female,OBC,9,14,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.125,45.8,0.1
Freedom International School,Rural,Male,ST,8,13,2024,Bengaluru Rural,Dropout,Lack of interest,Secondary,50000,52.757,76.67,46.0,4.45
Mount Litera Zee School,Semi-Urban,Female,ST,9,14,2024,Bengaluru Rural,Enrolled,Not applicable,Graduate,50000,67.74,94.15,20.3,2.53
PES Public School,Urban,Male,General,7,12,2020,Bengaluru Urban,Dropout,Health issues,Higher Secondary,10000,52.757,79.5,43.3,1.76
National Public School,Urban,Male,General,1,6,2023,Mysuru,Enrolled,Not applicable,Secondary,25000,67.74,90.125,33.8,3.0
Assisi Central School,Rural,Female,General,1,6,2022,Udupi,Dropout,Family Issues,No Schooling,10000,52.757,78.64,49.7,3.79
Mount Litera Zee School,Urban,Male,General,3,8,2018,Shivamogga,Dropout,Migration,Secondary,50000,52.757,79.65,34.5,0.91
Sri Taralabalu Central School,Rural,Male,General,2,7,2021,Bengaluru Urban,Enrolled,Not applicable,Post-Graduate,15000,73.45,90.125,49.6,9.43
New Oxford School,Rural,Female,OBC,5,10,2019,Ballari,Dropout,Health issues,No Schooling,50000,52.757,79.65,42.6,9.47
National Public School,Semi-Urban,Female,SC,10,15,2024,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,93.14,27.5,0.93
Assisi Central School,Rural,Male,SC,4,9,2022,Dakshina Kannada,Dropout,Bullying,Graduate,25000,27.72,79.65,36.2,8.87
Delhi Public School,Urban,Male,General,6,11,2019,Dharwad,Dropout,Other,Higher Secondary,25000,49.21,79.65,49.8,2.73
Assisi Central School,Rural,Female,ST,5,10,2018,Udupi,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,45.7,3.28
New Oxford School,Semi-Urban,Male,SC,4,9,2018,Dakshina Kannada,Dropout,Financial hardship,Higher Secondary,10000,45.19,65.72,22.9,0.77
Mount Litera Zee School,Urban,Male,ST,5,10,2020,Belagavi,Dropout,Health issues,Primary,10000,52.757,79.65,41.2,2.66
Freedom International School,Rural,Female,General,3,8,2021,Shivamogga,Enrolled,Not applicable,Primary,50000,67.74,93.45,30.4,9.21
PES Public School,Urban,Female,General,3,8,2022,Belagavi,Dropout,Child Labour,Higher Secondary,10000,52.757,79.65,20.2,0.43
Mount Litera Zee School,Urban,Female,OBC,4,9,2021,Tumakuru,Dropout,Child Labour,Higher Secondary,60000,50.25,70.95,32.1,2.62
Freedom International School,Urban,Male,ST,6,11,2023,Bengaluru Rural,Enrolled,Not applicable,Graduate,15000,67.74,90.125,27.0,1.94
National Public School,Urban,Female,OBC,10,15,2021,Dharwad,Enrolled,Not applicable,Graduate,25000,67.74,100.0,44.6,0.58
Maharishi Public School,Rural,Female,OBC,2,7,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,10000,67.74,97.47,30.1,1.25
Freedom International School,Urban,Male,SC,9,14,2024,Shivamogga,Enrolled,Not applicable,Secondary,25000,81.16,90.125,44.8,0.93
Mount Litera Zee School,Semi-Urban,Female,OBC,2,7,2021,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,94.51,20.0,2.24
New Oxford School,Urban,Male,OBC,2,7,2023,Ballari,Dropout,Migration,Secondary,100000,52.757,79.65,29.2,1.41
Sri Taralabalu Central School,Urban,Male,SC,10,15,2018,Mysuru,Dropout,Other,Higher Secondary,25000,52.757,67.96,27.2,2.97
Assisi Central School,Semi-Urban,Female,ST,2,7,2019,Mysuru,Dropout,Child Labour,Higher Secondary,10000,52.757,75.76,27.0,0.26
Maharishi Public School,Semi-Urban,Male,ST,7,12,2022,Udupi,Dropout,Family Issues,Graduate,10000,52.757,79.65,22.0,1.13
PES Public School,Semi-Urban,Female,SC,6,11,2023,Tumakuru,Dropout,Financial hardship,Primary,15000,52.757,79.65,25.6,1.5
Jain International School,Rural,Male,SC,9,14,2019,Bengaluru Urban,Dropout,Family responsibilities,Primary,10000,50.81,79.65,36.7,6.36
Jain International School,Urban,Female,General,8,13,2020,Bengaluru Urban,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,28.7,1.02
Delhi Public School,Urban,Male,General,3,8,2019,Ballari,Enrolled,Not applicable,Secondary,50000,67.74,100.0,32.5,2.21
New Oxford School,Urban,Male,General,8,13,2023,Shivamogga,Dropout,Migration,No Schooling,10000,52.757,79.65,31.3,2.64
Mount Litera Zee School,Rural,Female,SC,2,7,2024,Shivamogga,Dropout,Child Labour,Secondary,25000,52.757,79.65,46.3,3.43
Maharishi Public School,Rural,Male,OBC,4,9,2020,Dakshina Kannada,Dropout,Child Labour,Secondary,50000,52.757,79.65,47.2,8.38
Jain International School,Semi-Urban,Male,OBC,9,14,2021,Udupi,Enrolled,Not applicable,Primary,25000,67.74,90.125,34.8,2.57
Mount Litera Zee School,Semi-Urban,Male,OBC,4,9,2021,Belagavi,Dropout,Long distance to school,Secondary,25000,31.77,69.83,29.9,1.7
Jain International School,Urban,Female,General,6,11,2023,Bengaluru Rural,Enrolled,Not applicable,No Schooling,50000,67.74,99.77,23.2,2.5
Jain International School,Urban,Female,SC,3,8,2018,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,48.6,0.98
Jain International School,Urban,Male,SC,9,14,2024,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,21.8,1.26
National Public School,Semi-Urban,Male,SC,10,15,2020,Bengaluru Rural,Dropout,Family Issues,Primary,10000,44.58,74.03,28.9,1.02
National Public School,Semi-Urban,Male,OBC,6,11,2021,Mysuru,Enrolled,Not applicable,No Schooling,15000,78.99,90.125,28.9,1.46
Freedom International School,Urban,Male,ST,1,6,2018,Dakshina Kannada,Enrolled,Not applicable,Secondary,50000,67.74,90.125,29.6,0.93
Assisi Central School,Urban,Male,ST,5,10,2019,Dakshina Kannada,Dropout,Migration,Higher Secondary,25000,52.757,78.92,24.9,2.89
Mount Litera Zee School,Rural,Female,SC,5,10,2022,Bengaluru Urban,Dropout,Family Issues,Primary,25000,52.757,79.61,43.5,9.8
Mount Litera Zee School,Semi-Urban,Male,OBC,9,14,2019,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,23.7,0.38
Freedom International School,Rural,Male,OBC,2,7,2023,Shivamogga,Dropout,Other,No Schooling,15000,52.757,79.65,39.0,2.47
New Oxford School,Urban,Male,SC,3,8,2021,Tumakuru,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,23.7,0.27
Jain International School,Urban,Female,General,5,10,2023,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,73.79,90.125,22.1,0.42
New Oxford School,Rural,Female,ST,10,15,2024,Shivamogga,Dropout,Migration,Secondary,25000,52.757,79.65,47.3,3.45
New Oxford School,Rural,Female,SC,8,13,2021,Shivamogga,Dropout,Family responsibilities,Secondary,10000,49.94,79.65,25.7,8.34
Jain International School,Semi-Urban,Female,OBC,7,12,2021,Dakshina Kannada,Dropout,Financial hardship,Higher Secondary,15000,52.757,77.82,44.6,1.36
Jain International School,Semi-Urban,Male,SC,6,11,2022,Dharwad,Enrolled,Not applicable,Post-Graduate,60000,67.74,90.125,36.3,2.42
Jain International School,Rural,Male,SC,4,9,2023,Mysuru,Dropout,Financial hardship,Secondary,15000,52.757,79.65,22.3,4.08
PES Public School,Semi-Urban,Female,ST,4,9,2021,Bengaluru Rural,Dropout,Bullying,Primary,15000,52.757,79.65,48.7,1.34
PES Public School,Rural,Female,SC,4,9,2023,Bengaluru Rural,Dropout,Migration,Higher Secondary,50000,52.757,79.65,27.4,6.67
New Oxford School,Rural,Male,ST,1,6,2021,Mysuru,Enrolled,Not applicable,Primary,15000,72.16,90.125,45.8,4.75
Maharishi Public School,Semi-Urban,Male,General,5,10,2021,Dakshina Kannada,Dropout,Health issues,Secondary,25000,52.757,73.98,25.1,2.34
Sri Taralabalu Central School,Semi-Urban,Male,General,9,14,2022,Ballari,Dropout,Bullying,No Schooling,60000,33.77,79.65,45.6,0.25
Freedom International School,Semi-Urban,Male,General,8,13,2024,Belagavi,Dropout,Lack of interest,No Schooling,10000,52.757,79.65,20.4,0.14
Sri Taralabalu Central School,Semi-Urban,Male,General,7,12,2023,Bengaluru Urban,Dropout,Family Issues,Post-Graduate,15000,35.06,79.65,35.4,2.41
Mount Litera Zee School,Semi-Urban,Male,OBC,6,11,2018,Udupi,Dropout,Financial hardship,Higher Secondary,10000,52.757,76.61,43.1,1.48
Maharishi Public School,Urban,Female,OBC,4,9,2020,Shivamogga,Dropout,Family Issues,Higher Secondary,10000,52.757,76.13,48.0,0.48
New Oxford School,Rural,Female,OBC,6,11,2024,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,90.35,47.3,2.08
Maharishi Public School,Rural,Female,SC,3,8,2021,Dharwad,Dropout,Other,Primary,15000,52.757,79.65,44.6,6.23
National Public School,Urban,Female,General,1,6,2023,Mysuru,Enrolled,Not applicable,Primary,25000,67.74,90.125,46.6,2.59
Delhi Public School,Rural,Female,OBC,9,14,2019,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,90.125,26.0,5.47
Maharishi Public School,Rural,Male,SC,7,12,2018,Shivamogga,Enrolled,Not applicable,Secondary,50000,67.74,90.125,28.5,8.59
New Oxford School,Semi-Urban,Male,OBC,10,15,2019,Shivamogga,Enrolled,Not applicable,Higher Secondary,25000,71.69,90.125,28.7,1.61
National Public School,Urban,Male,SC,2,7,2019,Dakshina Kannada,Dropout,Other,Higher Secondary,60000,52.757,79.65,31.3,2.93
Mount Litera Zee School,Semi-Urban,Male,SC,5,10,2021,Udupi,Enrolled,Not applicable,Primary,50000,80.94,90.125,31.8,2.9
New Oxford School,Semi-Urban,Male,General,1,6,2022,Mysuru,Dropout,Financial hardship,Post-Graduate,100000,51.57,75.63,36.3,0.72
Delhi Public School,Urban,Male,OBC,5,10,2019,Belagavi,Dropout,Lack of interest,Higher Secondary,50000,52.757,78.32,24.8,2.45
Delhi Public School,Rural,Female,SC,2,7,2024,Udupi,Enrolled,Not applicable,Secondary,25000,67.74,90.125,40.7,6.74
Mount Litera Zee School,Rural,Male,OBC,9,14,2021,Ballari,Enrolled,Not applicable,Secondary,15000,67.74,90.125,25.0,1.64
Assisi Central School,Rural,Male,ST,2,7,2023,Bengaluru Rural,Dropout,Other,Secondary,10000,52.757,62.62,29.3,4.25
Assisi Central School,Rural,Male,SC,8,13,2024,Ballari,Dropout,Child Labour,Primary,10000,52.757,63.79,35.1,5.81
Mount Litera Zee School,Urban,Female,ST,6,11,2018,Dakshina Kannada,Dropout,Long distance to school,Primary,10000,41.48,78.93,43.9,2.8
Mount Litera Zee School,Semi-Urban,Female,ST,10,15,2019,Belagavi,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,42.2,0.36
Maharishi Public School,Semi-Urban,Female,ST,9,14,2020,Bengaluru Urban,Dropout,Financial hardship,No Schooling,50000,52.757,57.52,39.4,1.58
New Oxford School,Urban,Female,OBC,2,7,2019,Bengaluru Urban,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,24.7,2.76
Assisi Central School,Semi-Urban,Male,General,7,12,2024,Dharwad,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,36.4,2.72
Delhi Public School,Rural,Male,General,2,7,2024,Shivamogga,Enrolled,Not applicable,No Schooling,10000,67.74,98.88,22.6,6.36
Assisi Central School,Semi-Urban,Male,General,3,8,2020,Shivamogga,Dropout,Long distance to school,Graduate,25000,52.757,79.65,31.3,1.16
PES Public School,Rural,Female,ST,1,6,2024,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,32.4,4.7
Delhi Public School,Rural,Male,SC,8,13,2021,Udupi,Enrolled,Not applicable,Secondary,25000,68.19,90.125,21.2,6.44
Assisi Central School,Rural,Female,OBC,2,7,2023,Shivamogga,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,28.2,6.67
PES Public School,Urban,Male,General,2,7,2023,Ballari,Enrolled,Not applicable,Secondary,50000,67.74,92.68,48.7,2.75
Freedom International School,Semi-Urban,Female,OBC,4,9,2023,Udupi,Dropout,Migration,Secondary,10000,52.757,79.65,48.6,0.58
Mount Litera Zee School,Rural,Male,SC,8,13,2021,Udupi,Dropout,Lack of interest,Primary,60000,52.757,79.65,30.6,1.84
Mount Litera Zee School,Rural,Male,OBC,9,14,2020,Bengaluru Urban,Enrolled,Not applicable,Secondary,15000,67.74,100.0,21.3,1.15
Maharishi Public School,Rural,Female,SC,4,9,2021,Belagavi,Enrolled,Not applicable,Primary,15000,67.74,90.125,25.4,8.86
PES Public School,Urban,Male,ST,6,11,2020,Udupi,Dropout,Lack of interest,Secondary,50000,52.757,79.65,31.8,0.66
National Public School,Urban,Female,ST,4,9,2019,Tumakuru,Dropout,Child Labour,Secondary,50000,52.757,79.65,48.4,1.31
New Oxford School,Urban,Female,General,6,11,2023,Dharwad,Dropout,Migration,No Schooling,50000,52.757,79.65,24.2,1.4
Assisi Central School,Rural,Male,General,8,13,2024,Dakshina Kannada,Enrolled,Not applicable,Primary,100000,70.45,90.125,42.9,3.88
Maharishi Public School,Urban,Female,OBC,5,10,2024,Tumakuru,Dropout,Other,Secondary,25000,52.757,79.65,23.3,0.31
Maharishi Public School,Semi-Urban,Female,SC,6,11,2021,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,77.6,90.125,49.4,0.76
Delhi Public School,Urban,Female,ST,8,13,2024,Shivamogga,Dropout,Lack of interest,Graduate,10000,52.757,79.65,31.4,2.8
Freedom International School,Semi-Urban,Male,OBC,9,14,2018,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,43.3,2.73
National Public School,Urban,Female,OBC,2,7,2019,Ballari,Enrolled,Not applicable,Primary,15000,67.74,92.51,30.3,2.37
Mount Litera Zee School,Semi-Urban,Male,General,9,14,2022,Ballari,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,38.8,0.16
Jain International School,Semi-Urban,Female,OBC,9,14,2024,Udupi,Enrolled,Not applicable,Secondary,60000,67.74,90.125,25.8,1.05
National Public School,Rural,Female,General,2,7,2024,Mysuru,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,24.4,2.29
Delhi Public School,Urban,Female,General,2,7,2021,Bengaluru Urban,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,48.1,0.9
Sri Taralabalu Central School,Semi-Urban,Male,SC,10,15,2020,Udupi,Enrolled,Not applicable,Graduate,50000,85.99,90.125,47.5,2.74
PES Public School,Urban,Male,SC,6,11,2021,Bengaluru Rural,Dropout,Bullying,Secondary,10000,52.757,79.65,46.6,1.94
Freedom International School,Urban,Male,ST,4,9,2018,Tumakuru,Enrolled,Not applicable,Primary,60000,69.57,90.125,38.8,0.31
Assisi Central School,Rural,Female,SC,6,11,2024,Dharwad,Dropout,Family Issues,Secondary,50000,52.757,79.65,44.2,5.66
New Oxford School,Rural,Male,OBC,4,9,2019,Dakshina Kannada,Enrolled,Not applicable,Secondary,10000,67.74,91.86,22.1,1.07
New Oxford School,Semi-Urban,Male,General,3,8,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,100.0,30.0,0.33
Jain International School,Urban,Female,ST,7,12,2023,Dharwad,Dropout,Migration,Graduate,15000,48.18,79.65,29.4,1.64
National Public School,Urban,Female,ST,1,6,2021,Udupi,Enrolled,Not applicable,Primary,25000,67.74,91.69,39.1,0.98
National Public School,Urban,Male,General,2,7,2018,Tumakuru,Dropout,Poverty,Post-Graduate,15000,52.757,79.65,30.7,1.24
Sri Taralabalu Central School,Semi-Urban,Female,SC,5,10,2019,Bengaluru Urban,Enrolled,Not applicable,Graduate,60000,67.74,97.96,24.5,0.62
PES Public School,Urban,Female,General,4,9,2023,Udupi,Dropout,Poverty,Primary,25000,30.31,77.81,37.9,1.78
Jain International School,Semi-Urban,Male,OBC,10,15,2021,Tumakuru,Enrolled,Not applicable,No Schooling,50000,71.22,92.45,44.4,2.88
Jain International School,Semi-Urban,Male,SC,2,7,2021,Dakshina Kannada,Dropout,Child Labour,No Schooling,100000,43.91,79.65,31.5,1.56
Freedom International School,Semi-Urban,Male,ST,8,13,2021,Bengaluru Rural,Dropout,Family responsibilities,No Schooling,25000,52.757,79.65,24.0,0.34
Mount Litera Zee School,Urban,Male,OBC,1,6,2021,Mysuru,Enrolled,Not applicable,No Schooling,60000,91.11,90.125,25.9,1.9
Maharishi Public School,Rural,Female,SC,4,9,2024,Shivamogga,Dropout,Long distance to school,Higher Secondary,10000,46.21,79.65,27.1,8.47
Delhi Public School,Rural,Male,General,7,12,2020,Tumakuru,Dropout,Migration,No Schooling,50000,22.05,79.65,29.0,4.74
Maharishi Public School,Semi-Urban,Male,ST,9,14,2020,Dharwad,Enrolled,Not applicable,Primary,60000,67.74,90.125,39.3,1.36
PES Public School,Rural,Female,OBC,10,15,2023,Bengaluru Urban,Dropout,Health issues,Higher Secondary,50000,52.757,79.65,38.0,8.8
Freedom International School,Urban,Male,General,3,8,2023,Shivamogga,Dropout,Health issues,No Schooling,10000,52.757,79.65,40.9,0.65
National Public School,Rural,Male,SC,9,14,2021,Mysuru,Enrolled,Not applicable,Higher Secondary,50000,67.74,93.69,30.9,5.03
PES Public School,Urban,Female,General,9,14,2024,Tumakuru,Dropout,Health issues,Primary,10000,52.757,79.65,44.7,0.87
Sri Taralabalu Central School,Semi-Urban,Male,ST,7,12,2021,Mysuru,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,26.1,2.32
Delhi Public School,Semi-Urban,Male,General,2,7,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,50000,67.74,94.55,34.1,0.7
New Oxford School,Rural,Female,General,6,11,2022,Ballari,Enrolled,Not applicable,Secondary,100000,99.67,93.76,44.0,4.23
PES Public School,Semi-Urban,Male,SC,5,10,2020,Dakshina Kannada,Dropout,Financial hardship,Graduate,50000,37.46,79.65,25.4,1.45
New Oxford School,Semi-Urban,Female,ST,2,7,2019,Udupi,Dropout,Lack of interest,Higher Secondary,10000,52.757,78.96,23.3,2.84
Delhi Public School,Urban,Male,ST,10,15,2022,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,46.5,2.8
National Public School,Rural,Male,OBC,4,9,2022,Udupi,Dropout,Long distance to school,Primary,15000,52.757,68.61,30.3,6.09
National Public School,Rural,Male,OBC,8,13,2021,Belagavi,Dropout,Child Labour,Primary,25000,52.757,79.65,40.5,9.25
New Oxford School,Semi-Urban,Female,OBC,3,8,2018,Bengaluru Urban,Dropout,Long distance to school,Higher Secondary,100000,52.757,79.65,20.8,0.53
Delhi Public School,Rural,Female,General,9,14,2024,Udupi,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,40.7,5.06
Sri Taralabalu Central School,Urban,Male,SC,10,15,2024,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,50000,67.74,91.4,29.5,1.44
Delhi Public School,Semi-Urban,Female,General,8,13,2018,Bengaluru Urban,Enrolled,Not applicable,Secondary,25000,67.74,90.125,21.7,2.71
New Oxford School,Rural,Male,SC,2,7,2018,Shivamogga,Dropout,Migration,Primary,25000,52.757,79.65,38.3,5.43
Assisi Central School,Urban,Male,General,4,9,2022,Dakshina Kannada,Dropout,Long distance to school,Higher Secondary,10000,52.757,73.52,27.2,1.21
New Oxford School,Semi-Urban,Female,General,2,7,2021,Belagavi,Enrolled,Not applicable,Primary,50000,67.74,90.125,31.6,1.53
Assisi Central School,Rural,Female,SC,1,6,2022,Udupi,Dropout,Child Labour,Graduate,15000,52.757,55.09,22.4,3.21
Mount Litera Zee School,Urban,Male,OBC,8,13,2024,Mysuru,Enrolled,Not applicable,Graduate,50000,76.89,90.125,24.4,2.44
Mount Litera Zee School,Semi-Urban,Male,ST,4,9,2021,Shivamogga,Enrolled,Not applicable,Secondary,50000,67.74,90.125,28.9,0.11
National Public School,Urban,Female,General,2,7,2019,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,97.06,22.7,1.03
New Oxford School,Urban,Female,OBC,4,9,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,15000,78.93,92.77,47.3,1.32
